"extension_nm","force_f","retraction_nm","force_r"
4745.093035,118.54976036,4746.575387,-295.32619464
4745.213746,116.52095736,4746.69787,-281.12456764
4745.33447,120.57856436,4746.820367,-273.00935264
4745.455207,122.60736836,4746.942878,-258.80772664
4745.575958,124.63617136,4747.065403,-254.75011964
4745.696722,126.66497536,4747.187942,-248.66370764
4745.8175,130.72258236,4747.310494,-242.57729664
4745.93829,128.69377936,4747.433061,-240.548492639999
4746.059095,132.75138636,4747.555641,-240.548492639999
4746.179912,130.72258236,4747.678236,-234.46208164
4746.300743,132.75138636,4747.800844,-232.43327864
4746.421588,132.75138636,4747.923467,-232.43327864
4746.542445,130.72258236,4748.046103,-230.40447464
4746.663316,126.66497536,4748.168753,-224.31806364
4746.784201,132.75138636,4748.291418,-220.26045564
4746.905099,134.78018936,4748.414096,-216.20284864
4747.02601,132.75138636,4748.536788,-214.17404464
4747.146934,132.75138636,4748.659494,-212.14524064
4747.267872,130.72258236,4748.782214,-208.08763364
4747.388824,134.78018936,4748.904948,-195.91481064
4747.509788,134.78018936,4749.027696,-193.88600764
4747.630766,138.83779736,4749.150458,-185.77079264
4747.751758,136.80899336,4749.273233,-179.68438164
4747.872763,142.89540436,4749.396023,-177.65557764
4747.993781,142.89540436,4749.518827,-173.59796964
4748.114812,142.89540436,4749.641644,-169.54036264
4748.235857,148.98181536,4749.764476,-165.48275464
4748.356916,148.98181536,4749.887321,-159.39634364
4748.477988,148.98181536,4750.01018,-155.33873664
4748.599073,148.98181536,4750.133054,-157.36754064
4748.720171,151.01061936,4750.255941,-149.25232564
4748.841283,146.95301136,4750.378842,-145.19471764
4748.962409,148.98181536,4750.501757,-141.13711064
4749.083548,146.95301136,4750.624686,-130.99309164
4749.2047,146.95301136,4750.747629,-126.93548464
4749.325865,146.95301136,4750.870586,-114.76266264
4749.447044,142.89540436,4750.993557,-106.64744764
4749.568237,140.86660036,4751.116541,-102.58983964
4749.689443,140.86660036,4751.23954,-90.4170176400003
4749.810662,136.80899336,4751.362553,-78.2441956399998
4749.931894,138.83779736,4751.485579,-64.0425696399998
4750.053141,138.83779736,4751.60862,-53.8985516399998
4750.1744,140.86660036,4751.731674,-45.78333664
4750.295673,142.89540436,4751.854742,-37.6681216400002
4750.416959,146.95301136,4751.977825,-25.4952996399998
4750.538259,146.95301136,4752.100921,-21.43769264
4750.659572,153.03942236,4752.224031,-17.38008464
4750.780899,157.09703036,4752.347155,-13.3224776400002
4750.902239,157.09703036,4752.470293,-11.2936736399997
4751.023592,159.12583336,4752.593445,-11.2936736399997
4751.144959,159.12583336,4752.716611,-11.2936736399997
4751.266339,157.09703036,4752.83979,-7.23606663999999
4751.387733,159.12583336,4752.962984,-9.26487063999957
4751.50914,157.09703036,4753.086192,-9.26487063999957
4751.63056,155.06822636,4753.209413,-9.26487063999957
4751.751994,155.06822636,4753.332649,-9.26487063999957
4751.873442,148.98181536,4753.455898,-7.23606663999999
4751.994903,148.98181536,4753.579161,-1.14965563999976
4752.116377,144.92420836,4753.702438,0.879148359999817
4752.237865,146.95301136,4753.82573,4.93675536000046
4752.359366,148.98181536,4753.949035,15.0807743599999
4752.48088,142.89540436,4754.072354,23.1959883600002
4752.602408,142.89540436,4754.195687,31.31120336
4752.72395,144.92420836,4754.319033,37.3976143600003
4752.845505,144.92420836,4754.442394,45.5128293600001
4752.967073,148.98181536,4754.565769,51.5992403600003
4753.088655,142.89540436,4754.689157,57.6856513599996
4753.21025,148.98181536,4754.81256,57.6856513599996
4753.331859,146.95301136,4754.935976,67.8296693600005
4753.453481,144.92420836,4755.059407,69.8584733600001
4753.575117,138.83779736,4755.182851,71.8872763600002
4753.696766,136.80899336,4755.306309,71.8872763600002
4753.818429,136.80899336,4755.429781,73.9160803599998
4753.940105,130.72258236,4755.553267,77.9736873600004
4754.061794,132.75138636,4755.676767,77.9736873600004
4754.183497,128.69377936,4755.800281,75.9448843600003
4754.305214,126.66497536,4755.923809,82.0312953600005
4754.426944,130.72258236,4756.04735,82.0312953600005
4754.548687,130.72258236,4756.170906,82.0312953600005
4754.670444,132.75138636,4756.294476,84.0600983599998
4754.792214,132.75138636,4756.418059,88.1177063599998
4754.913998,138.83779736,4756.541656,86.0889023600002
4755.035795,140.86660036,4756.665268,90.14650936
4755.157606,144.92420836,4756.788893,94.2041173600001
4755.27943,153.03942236,4756.912532,92.1753133600005
4755.401268,155.06822636,4757.036185,96.2329203600002
4755.523119,161.15463736,4757.159852,102.31933136
4755.644984,165.21224436,4757.283533,106.37693836
4755.766862,163.18344036,4757.407227,108.40574236
4755.888753,165.21224436,4757.530936,110.43454636
4756.010659,167.24104836,4757.654659,110.43454636
4756.132577,165.21224436,4757.778395,114.49215336
4756.254509,163.18344036,4757.902145,112.46334936
4756.376455,159.12583336,4758.02591,110.43454636
4756.498414,159.12583336,4758.149688,110.43454636
4756.620386,163.18344036,4758.27348,110.43454636
4756.742372,159.12583336,4758.397286,108.40574236
4756.864372,159.12583336,4758.521106,108.40574236
4756.986385,159.12583336,4758.64494,108.40574236
4757.108412,159.12583336,4758.768788,110.43454636
4757.230452,161.15463736,4758.892649,110.43454636
4757.352505,157.09703036,4759.016525,112.46334936
4757.474572,157.09703036,4759.140414,118.54976036
4757.596653,157.09703036,4759.264318,122.60736836
4757.718747,155.06822636,4759.388235,126.66497536
4757.840855,148.98181536,4759.512166,136.80899336
