"extension_nm","force_f","retraction_nm","force_r"
4538.624501,59.7144543599998,4539.940728,-11.2936736399997
4538.722613,61.7432583600003,4540.036122,-7.23606663999999
4538.820735,63.7720623599998,4540.13153,-3.17845863999992
4539.017011,63.7720623599998,4540.322391,-1.14965563999976
4539.115165,67.8296693600005,4540.417844,-1.14965563999976
4539.409688,65.80086536,4540.704289,-3.17845863999992
4539.60609,61.7432583600003,4540.895326,-7.23606663999999
4539.704307,61.7432583600003,4540.990866,-3.17845863999992
4539.802534,59.7144543599998,4541.086421,-5.2072626399995
4539.900772,55.65684736,4541.181991,-7.23606663999999
4539.99902,59.7144543599998,4541.277575,-11.2936736399997
4540.097279,59.7144543599998,4541.373174,-11.2936736399997
4540.195548,55.65684736,4541.468788,-11.2936736399997
4540.293828,55.65684736,4541.564416,-9.26487063999957
4540.392118,55.65684736,4541.660059,-13.3224776400002
4540.490419,57.6856513599996,4541.755716,-11.2936736399997
4540.58873,59.7144543599998,4541.851388,-13.3224776400002
4540.687052,61.7432583600003,4541.947075,-15.3512816399998
4540.785384,65.80086536,4542.042776,-17.38008464
4540.883727,67.8296693600005,4542.138492,-13.3224776400002
4540.982081,71.8872763600002,4542.234223,-15.3512816399998
4541.080445,75.9448843600003,4542.329968,-13.3224776400002
4541.178819,73.9160803599998,4542.425728,-11.2936736399997
4541.277204,71.8872763600002,4542.521503,-13.3224776400002
4541.3756,69.8584733600001,4542.617292,-11.2936736399997
4541.474006,69.8584733600001,4542.713096,-9.26487063999957
4541.572423,61.7432583600003,4542.808914,-11.2936736399997
4541.67085,61.7432583600003,4542.904747,-9.26487063999957
4541.769288,55.65684736,4543.000595,-5.2072626399995
4541.867736,57.6856513599996,4543.096457,-5.2072626399995
4541.966195,53.6280433600004,4543.192334,-1.14965563999976
4542.163144,51.5992403600003,4543.384132,-3.17845863999992
4542.360136,51.5992403600003,4543.575989,-1.14965563999976
4553.559102,45.5128293600001,4554.510859,-3.17845863999992
4553.658816,43.4840253600005,4554.608461,-3.17845863999992
4553.758541,45.5128293600001,4554.706076,-3.17845863999992
4553.858277,41.45522136,4554.803707,-1.14965563999976
4553.958023,41.45522136,4554.901352,-1.14965563999976
4555.555422,75.9448843600003,4556.465655,-1.14965563999976
4561.972616,55.65684736,4562.760183,-5.2072626399995
4562.073236,59.7144543599998,4562.859008,-3.17845863999992
4562.173867,57.6856513599996,4562.957848,-7.23606663999999
4562.274509,59.7144543599998,4563.056703,-3.17845863999992
4562.375162,59.7144543599998,4563.155572,-7.23606663999999
4562.475826,67.8296693600005,4563.254455,-9.26487063999957
4562.5765,63.7720623599998,4563.353354,-11.2936736399997
4562.677186,67.8296693600005,4563.452266,-9.26487063999957
4562.777882,63.7720623599998,4563.551194,-5.2072626399995
4562.878589,67.8296693600005,4563.650136,-7.23606663999999
4562.979307,71.8872763600002,4563.749092,-5.2072626399995
4563.080036,71.8872763600002,4563.848063,-1.14965563999976
4590.575668,67.8296693600005,4590.998616,-3.17845863999992
4590.679386,67.8296693600005,4591.101503,-5.2072626399995
4590.783115,65.80086536,4591.204405,-9.26487063999957
4590.886856,65.80086536,4591.307321,-7.23606663999999
4590.990608,63.7720623599998,4591.410252,-3.17845863999992
4591.094371,67.8296693600005,4591.513197,-1.14965563999976
4591.198145,63.7720623599998,4591.616156,-3.17845863999992
4592.23651,67.8296693600005,4592.646547,-1.14965563999976
4592.340408,63.7720623599998,4592.749666,-3.17845863999992
4592.444318,63.7720623599998,4592.852799,-7.23606663999999
4592.548239,63.7720623599998,4592.955947,-9.26487063999957
4592.652172,57.6856513599996,4593.059108,-9.26487063999957
4592.756115,55.65684736,4593.162285,-7.23606663999999
4592.860071,61.7432583600003,4593.265476,-3.17845863999992
4596.192611,41.45522136,4596.575208,-1.14965563999976
4596.29694,43.4840253600005,4596.678875,-3.17845863999992
4596.40128,43.4840253600005,4596.782557,-7.23606663999999
4596.505632,45.5128293600001,4596.886253,-3.17845863999992
4596.609995,41.45522136,4596.989964,-9.26487063999957
4596.714369,43.4840253600005,4597.093689,-9.26487063999957
4596.818755,47.5416323600002,4597.197429,-13.3224776400002
4596.923152,43.4840253600005,4597.301183,-15.3512816399998
4597.027561,47.5416323600002,4597.404951,-15.3512816399998
4597.13198,51.5992403600003,4597.508734,-23.4664956400002
4597.236412,51.5992403600003,4597.612531,-23.4664956400002
4597.340854,51.5992403600003,4597.716343,-25.4952996399998
4597.445308,53.6280433600004,4597.820169,-23.4664956400002
4597.549774,57.6856513599996,4597.92401,-25.4952996399998
4597.65425,55.65684736,4598.027865,-23.4664956400002
4597.758738,55.65684736,4598.131734,-17.38008464
4597.863238,53.6280433600004,4598.235618,-11.2936736399997
4597.967749,55.65684736,4598.339516,-11.2936736399997
4598.072271,55.65684736,4598.443429,-7.23606663999999
4600.479427,45.5128293600001,4600.837403,-3.17845863999992
4600.584223,45.5128293600001,4600.941662,-3.17845863999992
4600.68903,47.5416323600002,4601.045935,-9.26487063999957
4600.793848,39.4264183599998,4601.150223,-13.3224776400002
4600.898679,39.4264183599998,4601.254525,-13.3224776400002
4601.00352,37.3976143600003,4601.358842,-19.4088886399995
