extension_nm	force_f	retraction_nm	force_r
4532.46457	-5887.441671	5126.71588	44047.6253
4532.562024	-5889.470475	5126.557122	44033.42352
4532.659487	-5889.470475	5126.398377	44021.25057
4532.756961	-5897.585689	5126.239644	44009.07762
4532.854446	-5897.585689	5126.080925	43998.9335
4532.95194	-5903.6721	5125.922219	43990.8182
4533.049446	-5907.729708	5125.763526	43986.76055
4533.146961	-5909.758511	5125.604845	43980.67407
4533.244487	-5911.787315	5125.446178	43972.55877
4533.342024	-5911.787315	5125.287523	43962.41465
4533.439571	-5911.787315	5125.128881	43948.21287
4533.537128	-5911.787315	5124.970253	43936.03992
4533.634696	-5911.787315	5124.811637	43917.7805
4533.732274	-5919.90253	5124.653034	43899.52108
4533.829863	-5915.844922	5124.494445	43875.17518
4533.927462	-5917.873726	5124.335868	43854.88693
4534.025071	-5917.873726	5124.177304	43830.54103
4534.122691	-5921.931333	5124.018753	43808.22396
4534.220321	-5919.90253	5123.860215	43781.84924
4534.317962	-5915.844922	5123.70169	43757.50334
4534.415613	-5915.844922	5123.543178	43735.18627
4534.513275	-5911.787315	5123.384679	43718.95567
4534.610947	-5911.787315	5123.226193	43696.6386
4534.708629	-5907.729708	5123.067719	43676.35036
4534.806322	-5907.729708	5122.909259	43664.17741
4534.904025	-5903.6721	5122.750812	43647.94681
4535.001739	-5905.700904	5122.592378	43639.83152
4535.099463	-5905.700904	5122.433956	43623.60092
4535.197198	-5895.556886	5122.275548	43607.37032
4535.294943	-5905.700904	5122.117152	43595.19738
4535.392699	-5899.614493	5121.95877	43574.90913
4535.490464	-5895.556886	5121.8004	43556.64971
4535.588241	-5899.614493	5121.642044	43538.39029
4535.686028	-5901.643297	5121.4837	43514.0444
4535.783825	-5903.6721	5121.325369	43493.75615
4535.881633	-5907.729708	5121.167051	43465.35261
4535.979451	-5909.758511	5121.008747	43445.06437
4536.07728	-5907.729708	5120.850455	43422.7473
4536.175119	-5909.758511	5120.692176	43396.37259
4536.272969	-5907.729708	5120.53391	43382.17082
4536.370829	-5909.758511	5120.375657	43357.82492
4536.468699	-5905.700904	5120.217417	43345.65198
4536.56658	-5907.729708	5120.05919	43333.47903
4536.664472	-5909.758511	5119.900976	43319.27726
4536.762374	-5909.758511	5119.742775	43305.07549
4536.860286	-5911.787315	5119.584587	43292.90255
4536.958209	-5911.787315	5119.426412	43278.70078
4537.056142	-5911.787315	5119.268249	43262.47019
4537.154086	-5915.844922	5119.1101	43246.23959
4537.252041	-5915.844922	5118.951964	43223.92253
4537.350005	-5921.931333	5118.793841	43205.66311
4537.447981	-5917.873726	5118.63573	43185.37487
4537.545966	-5919.90253	5118.477633	43159.00016
4537.643963	-5923.960137	5118.319548	43132.62545
4537.741969	-5925.988941	5118.161477	43110.30838
4537.839986	-5921.931333	5118.003419	43087.99132
4537.938014	-5925.988941	5117.845373	43059.58778
4538.036052	-5928.017744	5117.68734	43039.29955
4538.134101	-5923.960137	5117.529321	43008.86719
4538.23216	-5921.931333	5117.371314	42986.55013
4538.33023	-5921.931333	5117.213321	42962.20424
4538.42831	-5921.931333	5117.05534	42935.82953
4538.5264	-5923.960137	5116.897372	42911.48364
4538.624501	-5919.90253	5116.739417	42895.25305
4538.722613	-5917.873726	5116.581476	42876.99364
4538.820735	-5915.844922	5116.423547	42858.73423
4538.918868	-5913.816119	5116.265631	42848.59011
