scanstart [nm]: 4701.000000
slope [nm/V]: 56.533649
k [N/m]: 0.038722
velocity [nm/s]: 400.000000
5:53:48 PM

4665.968101	-1265.778952	5773.311101	19455.144828
4666.167879	-1265.073754	5773.025268	19465.017773
4666.367647	-1265.073754	5772.739477	19477.006350
4666.567405	-1264.368557	5772.453727	19488.994926
4666.767153	-1263.663359	5772.168019	19499.573082
4666.966890	-1266.484149	5771.882353	19510.151239
4667.166618	-1264.368557	5771.596728	19521.434606
4667.366336	-1265.073754	5771.311146	19530.602342
4667.566043	-1265.073754	5771.025605	19539.064867
4667.765741	-1263.663359	5770.740105	19548.937814
4667.965429	-1265.778952	5770.454648	19558.105551
4668.165106	-1264.368557	5770.169232	19567.978498
4668.364774	-1264.368557	5769.883858	19574.325392
4668.564431	-1266.484149	5769.598525	19580.672287
4668.764079	-1265.778952	5769.313234	19589.134814
4668.963717	-1266.484149	5769.027985	19594.071288
4669.163344	-1265.073754	5768.742778	19599.712972
4669.362962	-1265.778952	5768.457612	19603.239025
4669.562570	-1265.073754	5768.172487	19608.175499
4669.762168	-1264.368557	5767.887405	19607.470288
4669.961756	-1264.368557	5767.602363	19609.585920
4670.161334	-1264.368557	5767.317364	19607.470288
4670.360903	-1263.663359	5767.032406	19603.944235
4670.560461	-1263.663359	5766.747490	19601.828604
4670.760010	-1262.252965	5766.462615	19594.071288
4670.959548	-1262.958162	5766.177782	19587.724393
4671.159077	-1262.252965	5765.892990	19581.377498
4671.358596	-1262.252965	5765.608240	19572.914971
4671.558105	-1261.547767	5765.323531	19562.336814
4671.757605	-1262.252965	5765.038864	19553.874288
4671.957094	-1262.958162	5764.754239	19545.411762
4672.156574	-1260.842570	5764.469655	19536.949236
4672.356044	-1261.547767	5764.185112	19529.191921
4672.555505	-1260.842570	5763.900611	19520.024185
4672.754955	-1260.137372	5763.616151	19512.972081
4672.954396	-1259.432175	5763.331733	19505.214766
4673.153827	-1260.137372	5763.047356	19498.162662
4673.353249	-1258.021780	5762.763021	19491.110557
4673.552660	-1257.316582	5762.478727	19482.648033
4673.752062	-1257.316582	5762.194475	19476.301139
4673.951455	-1258.021780	5761.910264	19469.249035
4674.150837	-1257.316582	5761.626094	19460.786511
4674.350210	-1256.611385	5761.341966	19453.029197
4674.549574	-1257.316582	5761.057879	19443.861463
4674.748927	-1257.316582	5760.773834	19434.693728
4674.948272	-1259.432175	5760.489830	19424.820784
4675.147606	-1258.726977	5760.205867	19417.063470
4675.346931	-1258.726977	5759.921946	19406.485316
4675.546246	-1259.432175	5759.638066	19397.317582
4675.745552	-1260.137372	5759.354227	19387.444639
4675.944848	-1259.432175	5759.070430	19379.687326
4676.144135	-1260.842570	5758.786674	19369.109172
4676.343412	-1259.432175	5758.502959	19359.941439
4676.542679	-1258.726977	5758.219286	19352.889337
4676.741937	-1257.316582	5757.935653	19345.132025
4676.941185	-1258.021780	5757.652063	19337.374713
4677.140424	-1257.316582	5757.368513	19329.617401
4677.339654	-1256.611385	5757.085005	19322.565299
4677.538874	-1256.611385	5756.801537	19314.807988
4677.738084	-1254.495792	5756.518111	19307.755886
4677.937285	-1253.085397	5756.234727	19301.408995
4678.136477	-1253.790595	5755.951383	19293.651683
4678.335659	-1253.790595	5755.668081	19287.304792
4678.534832	-1253.085397	5755.384820	19280.252691
4678.733995	-1253.085397	5755.101600	19275.316221
4678.933149	-1253.790595	5754.818421	19266.853700
4679.132294	-1254.495792	5754.535284	19259.801599
4679.331429	-1254.495792	5754.252187	19254.865128
4679.530554	-1255.906187	5753.969132	19246.402607
4679.729671	-1255.906187	5753.686118	19240.760927
4679.928778	-1257.316582	5753.403145	19233.003617
4680.127876	-1258.726977	5753.120213	19225.951516
4680.326964	-1257.316582	5752.837323	19219.604626
4680.526043	-1257.316582	5752.554473	19212.552526
4680.725113	-1257.316582	5752.271664	19206.205636
4680.924173	-1255.906187	5751.988897	19197.037906
4681.123225	-1256.611385	5751.706171	19189.985806
4681.322267	-1257.316582	5751.423485	19180.818077
4681.521299	-1257.316582	5751.140841	19172.355557
4681.720323	-1257.316582	5750.858238	19163.187828
4681.919337	-1257.316582	5750.575676	19151.904469
4682.118342	-1255.200990	5750.293154	19141.326320
4682.317338	-1256.611385	5750.010674	19129.337752
4682.516324	-1258.021780	5749.728235	19118.759604
4682.715302	-1256.611385	5749.445837	19106.771036
4682.914270	-1256.611385	5749.163480	19094.782469
4683.113229	-1258.726977	5748.881164	19082.088692
4683.312179	-1257.316582	5748.598888	19072.215754
4683.511119	-1258.726977	5748.316654	19061.637607
4683.710051	-1258.726977	5748.034461	19050.354251
4683.908973	-1258.726977	5747.752309	19041.186524
4684.107887	-1259.432175	5747.470197	19030.608377
4684.306791	-1260.842570	5747.188127	19023.556280
4684.505686	-1259.432175	5746.906097	19017.209392
4684.704572	-1259.432175	5746.624108	19009.452085
4684.903449	-1258.726977	5746.342160	19002.399988
4685.102317	-1258.021780	5746.060254	18993.232262
4685.301176	-1258.021780	5745.778388	18986.180165
4685.500026	-1257.316582	5745.496562	18979.833278
4685.698866	-1257.316582	5745.214778	18969.960342
4685.897698	-1254.495792	5744.933034	18963.613455
4686.096521	-1254.495792	5744.651332	18955.150939
4686.295335	-1253.790595	5744.369670	18945.983214
4686.494140	-1251.675002	5744.088049	18936.815489
4686.692935	-1253.085397	5743.806469	18927.647764
4686.891722	-1250.969805	5743.524929	18920.595668
4687.090500	-1250.969805	5743.243431	18910.722734
4687.289269	-1248.854213	5742.961973	18902.260219
4687.488029	-1252.380200	5742.680556	18895.208123
