"extension","force_f","retraction","force_r"
4359.603041,-8695.306476,4361.806176,-8735.882566
4359.722968,-8689.220063,4361.921482,-8731.824957
4359.842878,-8687.191258,4362.036774,-8733.853762
4359.962769,-8681.104845,4362.152053,-8731.824957
4360.082642,-8683.133649,4362.267318,-8733.853762
4360.202497,-8679.076041,4362.382569,-8737.911371
4360.322335,-8679.076041,4362.497807,-8741.96898
4360.442154,-8683.133649,4362.613031,-8743.997784
4360.561956,-8681.104845,4362.728242,-8743.997784
4360.68174,-8683.133649,4362.843439,-8752.113002
4360.801505,-8685.162454,4362.958622,-8754.141807
4360.921253,-8685.162454,4363.073792,-8758.199416
4361.040983,-8689.220063,4363.188949,-8758.199416
4361.160696,-8687.191258,4363.304091,-8754.141807
4361.28039,-8695.306476,4363.419221,-8756.170611
4361.400067,-8691.248867,4363.534337,-8754.141807
4361.519725,-8691.248867,4363.649439,-8754.141807
4361.639366,-8693.277672,4363.764528,-8752.113002
4361.758989,-8693.277672,4363.879603,-8752.113002
4361.878595,-8693.277672,4363.994665,-8743.997784
4361.998182,-8693.277672,4364.109713,-8746.026589
4362.117752,-8687.191258,4364.224748,-8746.026589
4362.237304,-8687.191258,4364.339769,-8741.96898
4362.356838,-8691.248867,4364.454777,-8748.055393
4362.476355,-8685.162454,4364.569772,-8746.026589
4362.595854,-8687.191258,4364.684753,-8752.113002
4362.715335,-8685.162454,4364.799721,-8750.084198
4362.834799,-8683.133649,4364.914675,-8752.113002
4362.954245,-8683.133649,4365.029616,-8748.055393
4363.073673,-8683.133649,4365.144544,-8752.113002
4363.193083,-8685.162454,4365.259458,-8754.141807
4363.312476,-8681.104845,4365.374359,-8746.026589
4363.431851,-8679.076041,4365.489247,-8750.084198
4363.551209,-8681.104845,4365.604121,-8750.084198
4363.670549,-8677.047236,4365.718982,-8748.055393
4363.789871,-8677.047236,4365.833829,-8743.997784
4363.909176,-8677.047236,4365.948663,-8746.026589
4364.028463,-8677.047236,4366.063484,-8746.026589
4364.147733,-8672.989627,4366.178292,-8743.997784
4364.266985,-8675.018432,4366.293086,-8743.997784
4364.38622,-8670.960823,4366.407868,-8737.911371
4364.505437,-8670.960823,4366.522635,-8737.911371
4364.624636,-8664.874409,4366.63739,-8735.882566
4364.743818,-8668.932018,4366.752131,-8735.882566
4364.862983,-8668.932018,4366.86686,-8737.911371
4364.98213,-8668.932018,4366.981575,-8735.882566
4365.101259,-8664.874409,4367.096276,-8731.824957
4365.220371,-8666.903214,4367.210965,-8735.882566
4365.339466,-8664.874409,4367.32564,-8731.824957
4365.458543,-8670.960823,4367.440302,-8735.882566
4365.577603,-8670.960823,4367.554951,-8739.940175
4365.696646,-8672.989627,4367.669587,-8746.026589
4365.815671,-8675.018432,4367.78421,-8748.055393
4365.934678,-8681.104845,4367.898819,-8748.055393
4366.053668,-8681.104845,4368.013416,-8756.170611
4366.172641,-8683.133649,4368.127999,-8750.084198
4366.291597,-8697.335281,4368.242569,-8760.22822
4366.410535,-8695.306476,4368.357127,-8752.113002
4366.529456,-8695.306476,4368.471671,-8756.170611
4366.648359,-8695.306476,4368.586202,-8756.170611
4366.767245,-8695.306476,4368.700719,-8754.141807
4366.886114,-8691.248867,4368.815224,-8750.084198
4367.004966,-8685.162454,4368.929716,-8748.055393
4367.1238,-8681.104845,4369.044195,-8750.084198
4367.242617,-8679.076041,4369.158661,-8743.997784
4367.361417,-8679.076041,4369.273113,-8743.997784
4367.4802,-8670.960823,4369.387553,-8741.96898
4367.598965,-8666.903214,4369.50198,-8739.940175
4367.717713,-8666.903214,4369.616393,-8741.96898
4367.836444,-8668.932018,4369.730794,-8743.997784
4367.955158,-8670.960823,4369.845182,-8741.96898
4368.073854,-8670.960823,4369.959557,-8743.997784
4368.192533,-8675.018432,4370.073919,-8746.026589
4368.311196,-8679.076041,4370.188268,-8748.055393
4368.429841,-8677.047236,4370.302604,-8746.026589
4368.548469,-8677.047236,4370.416927,-8750.084198
