"extension","force_f","retraction","force_r","rownum"
86.4878534114554,-8.85911080000005,86.9562494114556,2951.1665902,2126
86.4547026243068,-6.83030680000047,86.9224716243067,2934.9361512,2122
86.4550569245495,-6.83030680000047,86.9221999245494,2912.6192962,2121
86.4553962192845,-8.85911080000005,86.921912219284,2890.3024422,2120
86.4668955413144,-12.9167188000001,86.9327835413141,2865.9567832,2124
86.4560348142618,-12.9167188000001,86.9212948142617,2845.6687332,2119
86.4675051362919,-14.9455228000006,86.932137136292,2821.3230742,2123
86.5124815346992,-16.9743268000002,86.9764835346989,2790.8910012,2130
86.5239248567293,-19.0031307999998,86.9872968567294,2766.5453422,2131
86.5130071241692,-16.9743268000002,86.9757491241699,2746.2572932,2129
86.513249418905,-16.9743268000002,86.9753594189045,2723.9404392,2128
86.5134767136403,-10.8879148000005,86.9749557136399,2701.6235852,2127
86.4801709264911,-12.9167188000001,86.9410179264914,2685.3931462,2125
86.4468521338348,-6.83030680000047,86.9070651338351,2669.1627082,2118
86.4358644012748,-6.83030680000047,86.8954444012754,2648.8746592,2117
86.3913435868311,-10.8879148000005,86.8502895868318,2634.6730252,2116
86.3579807996826,-8.85911080000005,86.8162927996824,2618.4425862,2115
86.3246050070262,-12.9167188000001,86.7822820070256,2602.2121482,2114
86.3135612744662,-14.9455228000006,86.7706012744665,2581.9240992,2113
86.2466374054329,-16.9743268000002,86.7030414054333,2571.7800752,2112
86.2467376946616,-21.0319348000003,86.7025046946611,2549.4632222,2111
86.2244779292997,-27.1183467999999,86.6796079293,2531.2039792,2110
86.1798581148562,-31.1759548,86.6343491148557,2517.0023452,2109
86.1463963221997,-33.2047588000005,86.6002493221997,2500.7719072,2108
86.1017475077555,-31.1759548,86.5549615077556,2486.5702732,2107
86.057084693312,-29.1471508000004,86.5096586933119,2472.3686392,2106
86.0235809006558,-31.1759548,86.4755139006552,2456.1382012,2105
85.9900621079992,-31.1759548,86.4413541079998,2439.9077632,2104
85.9341832662609,-25.0895428000003,86.384834266261,2427.7349342,2103
85.9006364736047,-25.0895428000003,86.3506444736045,2411.5044962,2098
85.8447296318661,-21.0319348000003,86.2940946318655,2399.3316672,2093
85.8446729155863,-19.0031307999998,86.2933949155864,2377.0148152,2092
85.7999090956359,-19.0031307999998,86.2479880956357,2362.8131822,2088
85.7663053029796,-16.9743268000002,86.2137383029799,2346.5827442,2085
85.7997246685841,-16.9743268000002,86.2465126685843,2318.1794772,2087
85.7884379250103,-19.0031307999998,86.234579925011,2297.8914302,2086
85.810655257814,-21.0319348000003,86.2561512578143,2271.5169692,2089
85.855204645207,-21.0319348000003,86.3000536452065,2241.0848982,2094
85.8662199507151,-21.0319348000003,86.3104219507148,2216.7392422,2095
85.8995673108127,-19.0031307999998,86.3431213108131,2188.3359762,2096
85.9105546163214,-21.0319348000003,86.3534596163212,2163.9903202,2100
85.9326999491243,-19.0031307999998,86.3749549491242,2137.6158592,2102
85.9324842328453,-8.85911080000005,86.3740902328456,2115.2990072,2101
85.9099084564693,-2.7726988000004,86.3508644564697,2097.0397662,2099
85.9096647401899,-0.743894799999907,86.3499687401906,2074.7229142,2097
85.8535408929443,5.34251719999975,86.2931938929446,2062.5500862,2091
85.8309221165683,7.37132119999933,86.2699221165686,2044.2908452,2090
