"extension","force_f","retraction","force_r","rownum"
214.058611055998,-27.0466784733335,214.887420055997,262.789548526667,2198
213.954680759684,-27.7518764733334,214.783492759685,259.968757526667,2197
213.864356374813,-29.8674684733335,214.693171374813,256.442769526666,2196
213.80125485144,-29.8674684733335,214.630070851439,251.506385526667,2195
213.738145328065,-31.2778644733335,214.566962328066,246.570001526667,2194
213.661411873943,-29.1622714733335,214.490229873943,242.338815526667,2193
213.58467141982,-29.1622714733335,214.41348941982,238.107629526667,2192
213.480693104201,-27.0466784733335,214.3095101042,235.286839526666,2191
213.363091877139,-28.4570734733334,214.191906877139,233.171246526666,2190
213.218252807888,-28.4570734733334,214.047065807888,232.466048526666,2189
213.114250511575,-27.0466784733335,213.943060511575,229.645257526667,2188
212.996625284513,-26.3414814733335,213.825431284514,227.529664526667,2187
212.851762195956,-26.3414814733335,213.680564195956,226.824467526666,2186
212.761350830391,-25.6362834733334,213.590147830391,223.298478526667,2185
212.616471741833,-27.0466784733335,213.445262741833,222.593281526666,2184
212.526044376268,-26.3414814733335,213.354829376269,219.067292526667,2183
212.421994060649,-29.1622714733335,213.25077206065,216.246502526667,2182
212.317934764336,-29.1622714733335,213.146705764337,213.425711526666,2181
212.186638606526,-29.8674684733335,213.015400606526,212.015316526667,2180
212.068949379466,-29.8674684733335,212.897702379465,209.899723526667,2179
211.978480994594,-29.8674684733335,212.807224994595,206.373735526667,2178
211.860775767533,-29.1622714733335,212.689508767533,204.258142526667,2177
211.756676471221,-29.1622714733335,212.58539947122,201.437351526667,2176
211.638955244159,-29.1622714733335,212.467665244159,199.321758526667,2175
211.548454859288,-29.1622714733335,212.377152859288,195.795770526667,2174
211.417101701479,-29.1622714733335,212.245786701478,194.385375526667,2173
211.340200247356,-28.4570734733334,212.168872247355,190.154189526667,2172
211.222445020295,-28.4570734733334,212.051103020294,188.038596526666,2171
211.063838020294,-27.0466784733335,211.892481020294,188.038596526666,2170
210.946066793233,-27.0466784733335,211.774693793233,185.923003526666,2169
210.81467365473,-28.4570734733334,211.64328365473,184.512607526666,2168
210.710501339111,-27.0466784733335,211.53909433911,181.691817526666,2167
210.606321042798,-30.5726664733334,211.434897042797,178.871026526667,2166
210.474901884988,-31.2778644733335,211.303459884988,177.460631526666,2165
210.384320500117,-32.6882594733336,211.212858500117,173.934643526667,2164
210.280115203805,-31.9830614733335,211.108634203804,171.113852526667,2163
210.162286976743,-33.3934564733336,210.990785976743,168.998259526667,2162
210.017220888184,-29.8674684733335,210.845697888184,168.293062526667,2161
209.885760749682,-29.8674684733335,210.714216749682,166.882666526667,2160
209.727063749682,-27.7518764733334,210.555496749682,166.882666526667,2159
209.554742818934,-25.6362834733334,210.383152818934,167.587864526667,2158
209.409642749681,-22.1102954733335,210.238029749682,166.882666526667,2157
209.278150591872,-20.6999004733334,210.106512591872,165.472271526667,2156
209.105804661124,-22.8154934733334,209.934141661124,166.177469526667,2155
209.028755207001,-24.9310854733335,209.857066207001,161.946283526667,2154
208.91085197994,-26.3414814733335,209.73913697994,159.830690526667,2153
208.806555683627,-28.4570734733334,209.634813683627,157.009899526666,2152
208.688636456566,-31.9830614733335,209.516865456566,154.894306526666,2151
208.557094298756,-33.3934564733336,209.385294298756,153.483911526667,2150
208.480002844634,-36.2142474733334,209.308173844633,149.252725526667,2149
208.348443686824,-37.6246424733336,209.176584686824,147.842330526667,2148
208.203260617572,-36.9194444733334,209.031371617572,147.137132526667,2147
208.098914301952,-34.8038524733336,208.926994301953,144.316342526667,2146
207.953715232701,-34.0986544733335,208.781762232701,143.611144526667,2145
207.794892232701,-31.9830614733335,208.622907232702,143.611144526667,2144
207.663291074891,-28.4570734733334,208.491272074892,142.200749526667,2143
207.51806600564,-26.3414814733335,208.34601400564,141.495551526667,2142
207.372832917081,-26.3414814733335,208.200745917081,140.790354526667,2141
207.22759184783,-26.3414814733335,208.05546884783,140.085156526666,2140
207.06872684783,-25.6362834733334,207.896567847831,140.085156526666,2139
206.90985384783,-27.0466784733335,207.737657847831,140.085156526666,2138
206.764586778579,-29.1622714733335,207.592352778578,139.379958526667,2137
206.646541551518,-31.2778644733335,207.474269551517,137.264365526667,2136
206.460412690021,-31.9830614733335,207.288101690021,138.674761526667,2135
206.383195235898,-34.0986544733335,207.210844235898,134.443575526667,2134
206.224279235898,-33.3934564733336,207.051888235898,134.443575526667,2133
206.106199008837,-32.6882594733336,206.933768008837,132.327982526667,2132
205.960881939585,-31.2778644733335,206.788407939585,131.622784526666,2131
205.842784712524,-32.6882594733336,206.670268712523,129.507191526666,2130
205.711064554714,-29.1622714733335,206.538505554715,128.096796526667,2129
205.565721466156,-29.1622714733335,206.393118466156,127.391599526667,2128
205.433984327653,-29.1622714733335,206.261336327653,125.981203526667,2127
205.329468012034,-31.2778644733335,206.156776012033,123.160413526667,2126
205.197713873531,-31.2778644733335,206.02497587353,121.750017526667,2125
205.06595171572,-31.9830614733335,205.89316571572,120.339622526667,2124
204.94779448866,-33.3934564733336,205.774962488659,118.224029526667,2123
204.829629261598,-31.9830614733335,205.656749261598,116.108436526667,2122
204.71145601523,-31.9830614733335,205.53852601523,113.992844526666,2121
204.579657876727,-31.9830614733335,205.406679876727,112.582448526666,2120
204.407007945979,-31.2778644733335,205.233978945978,113.287646526667,2119
204.261577876727,-29.8674684733335,205.088498876727,112.582448526666,2118
204.088909945979,-29.8674684733335,204.915778945979,113.287646526667,2117
203.91623301523,-29.1622714733335,204.74305001523,113.992844526666,2116
203.770777945979,-29.8674684733335,204.597540945979,113.287646526667,2115
