"extension","force_f","retraction","force_r"
-4727.374258,-9.12961614000051,-4728.601859,1206.12387286
-4727.493009,-11.1584201400001,-4728.722274,1200.03746086
-4727.611773,-5.07200914000077,-4728.842703,1195.97985286
-4727.73055,-9.12961614000051,-4728.963146,1193.95104886
-4727.84934,-3.04320514000028,-4729.083603,1191.92224486
-4727.968144,-3.04320514000028,-4729.204075,1187.86463686
-4728.08696,-5.07200914000077,-4729.32456,1183.80702886
-4728.20579,-9.12961614000051,-4729.445059,1181.77822486
-4728.324633,-15.2160271400007,-4729.565572,1181.77822486
-4728.443489,-15.2160271400007,-4729.686099,1175.69181286
-4728.562358,-15.2160271400007,-4729.80664,1169.60540086
-4728.681241,-19.2736351400008,-4729.927195,1165.54779286
-4728.800136,-23.3312421400005,-4730.047765,1159.46138186
-4728.919045,-23.3312421400005,-4730.168348,1157.43257786
-4729.037967,-25.3600461400001,-4730.288945,1145.25975386
-4729.156901,-25.3600461400001,-4730.409556,1141.20214586
-4729.27585,-23.3312421400005,-4730.530181,1135.11573386
-4729.394811,-21.30243814,-4730.65082,1133.08692986
-4729.513785,-19.2736351400008,-4730.771473,1124.97171386
-4729.632773,-13.1872241400006,-4730.89214,1124.97171386
-4729.751773,-15.2160271400007,-4731.012821,1122.94290986
-4729.870787,-17.2448311400003,-4731.133516,1120.91410586
-4729.989814,-15.2160271400007,-4731.254225,1122.94290986
-4730.108854,-13.1872241400006,-4731.374949,1118.88530186
-4730.227908,-17.2448311400003,-4731.495686,1122.94290986
-4730.346974,-15.2160271400007,-4731.616437,1122.94290986
-4730.466054,-15.2160271400007,-4731.737202,1124.97171386
-4730.585147,-21.30243814,-4731.857981,1124.97171386
-4730.704253,-21.30243814,-4731.978774,1122.94290986
-4730.823372,-25.3600461400001,-4732.099581,1120.91410586
-4730.942504,-23.3312421400005,-4732.220402,1116.85649786
-4731.06165,-27.3888491400003,-4732.341237,1112.79888986
-4731.180809,-29.4176531400008,-4732.462086,1110.77008586
-4731.299981,-29.4176531400008,-4732.582948,1104.68367386
-4731.419166,-29.4176531400008,-4732.703825,1098.59726186
-4731.538364,-31.4464571400003,-4732.824716,1094.53965486
-4731.657575,-35.5040641400001,-4732.945621,1082.36683086
-4731.7768,-37.5328671400002,-4733.06654,1076.28041886
-4731.896038,-39.5616711400007,-4733.187473,1068.16520286
-4732.015289,-35.5040641400001,-4733.30842,1062.07879086
-4732.134553,-35.5040641400001,-4733.429381,1060.04998686
-4732.25383,-37.5328671400002,-4733.550356,1049.90596786
-4732.373121,-35.5040641400001,-4733.671344,1049.90596786
-4732.492425,-33.4752601400005,-4733.792347,1041.79075186
-4732.611742,-29.4176531400008,-4733.913364,1041.79075186
-4732.731072,-27.3888491400003,-4734.034395,1041.79075186
-4732.850415,-21.30243814,-4734.155439,1035.70433986
-4732.969772,-17.2448311400003,-4734.276498,1039.76194786
-4733.089141,-13.1872241400006,-4734.397571,1037.73314386
-4733.208524,-17.2448311400003,-4734.518658,1033.67553586
-4733.32792,-15.2160271400007,-4734.639758,1037.73314386
-4733.44733,-15.2160271400007,-4734.760873,1031.64673186
-4733.566752,-13.1872241400006,-4734.882002,1029.61792786
-4733.686188,-15.2160271400007,-4735.003144,1029.61792786
-4733.805637,-19.2736351400008,-4735.124301,1023.53151586
-4733.925099,-19.2736351400008,-4735.245471,1021.50271186
-4734.044575,-23.3312421400005,-4735.366656,1017.44510386
-4734.164063,-29.4176531400008,-4735.487854,1015.41630086
-4734.283565,-27.3888491400003,-4735.609067,1003.24347686
-4734.40308,-27.3888491400003,-4735.730293,1001.21467286
-4734.522608,-35.5040641400001,-4735.851534,999.18586886
-4734.64215,-31.4464571400003,-4735.972788,993.09945686
-4734.761705,-33.4752601400005,-4736.094057,982.95543786
-4734.881273,-31.4464571400003,-4736.215339,980.92663386
-4735.000854,-29.4176531400008,-4736.336635,974.840221859999
-4735.120448,-31.4464571400003,-4736.457946,960.63859386
-4735.240056,-25.3600461400001,-4736.57927,960.63859386
-4735.359677,-33.4752601400005,-4736.700608,950.494574859999
-4735.479311,-29.4176531400008,-4736.821961,942.379358859999
-4735.598958,-29.4176531400008,-4736.943327,936.29294686
-4735.718618,-33.4752601400005,-4737.064707,930.206535859999
-4735.838292,-33.4752601400005,-4737.186101,918.03371186
-4735.957979,-35.5040641400001,-4737.30751,909.918496859999
-4736.077679,-37.5328671400002,-4737.428932,901.80328086
-4736.197393,-41.5904751400003,-4737.550368,891.659260859999
-4736.31712,-41.5904751400003,-4737.671818,881.51524186
-4736.43686,-39.5616711400007,-4737.793282,871.371221859999
-4736.556613,-47.6768861400005,-4737.91476,861.22720286
-4736.676379,-49.7056891400007,-4738.036252,849.054379859999
-4736.796159,-47.6768861400005,-4738.157758,838.91035986
-4736.915952,-53.7632971400008,-4738.279278,828.766340859999
-4737.035758,-57.8209041400005,-4738.400812,818.622320859999
-4737.155577,-53.7632971400008,-4738.52236,810.50710586
-4737.27541,-59.8497081400001,-4738.643921,806.44949786
-4737.395256,-59.8497081400001,-4738.765497,796.305478859999
-4737.515115,-55.79210014,-4738.887087,796.305478859999
-4737.634988,-55.79210014,-4739.008691,792.247870859999
-4737.754873,-57.8209041400005,-4739.130309,796.305478859999
-4737.874772,-61.8785111400002,-4739.25194,794.27667486
-4737.994685,-59.8497081400001,-4739.373586,796.305478859999
-4738.11461,-59.8497081400001,-4739.495245,792.247870859999
-4738.234549,-61.8785111400002,-4739.616919,792.247870859999
-4738.354501,-59.8497081400001,-4739.738607,786.16145886
-4738.474466,-53.7632971400008,-4739.860308,786.16145886
-4738.594445,-57.8209041400005,-4739.982024,778.04624386
-4738.714437,-53.7632971400008,-4740.103753,773.98863586
-4738.834442,-51.7344931400003,-4740.225496,761.81581286
-4738.95446,-45.64808214,-4740.347254,751.67179386
-4739.074492,-47.6768861400005,-4740.469025,741.52777386
-4739.194537,-45.64808214,-4740.59081,731.383754859999
-4739.314595,-37.5328671400002,-4740.71261,715.15332386
-4739.434667,-39.5616711400007,-4740.834423,707.03810886
-4739.554751,-37.5328671400002,-4740.95625,696.894089859999
-4739.674849,-37.5328671400002,-4741.078091,682.69246286
-4739.794961,-39.5616711400007,-4741.199946,680.663658859999
-4739.915085,-35.5040641400001,-4741.321815,670.51963986
-4740.035223,-37.5328671400002,-4741.443698,670.51963986
-4740.155375,-37.5328671400002,-4741.565595,660.375619859999
-4740.275539,-43.6192781400005,-4741.687506,660.375619859999
-4740.395717,-43.6192781400005,-4741.809431,658.34681586
-4740.515908,-43.6192781400005,-4741.93137,656.31801286
-4740.636112,-43.6192781400005,-4742.053323,654.289208859999
-4740.75633,-41.5904751400003,-4742.17529,646.17399286
-4740.876561,-43.6192781400005,-4742.297271,640.08758186
-4740.996805,-45.64808214,-4742.419265,634.001169859999
-4741.117063,-49.7056891400007,-4742.541274,629.943562859999
-4741.237334,-49.7056891400007,-4742.663297,615.74193586
-4741.357618,-55.79210014,-4742.785333,609.65552486
-4741.477915,-53.7632971400008,-4742.907384,595.453897859999
-4741.598226,-51.7344931400003,-4743.029448,589.36748586
-4741.71855,-53.7632971400008,-4743.151527,579.223466859999
-4741.838888,-55.79210014,-4743.273619,562.99303686
-4741.959239,-57.8209041400005,-4743.395725,554.87782186
-4742.079603,-55.79210014,-4743.517846,544.73380286
-4742.19998,-53.7632971400008,-4743.63998,538.64739086
-4742.320371,-55.79210014,-4743.762128,528.50337186
-4742.440775,-57.8209041400005,-4743.88429,522.41696086
-4742.561192,-55.79210014,-4744.006466,516.33054886
-4742.681623,-59.8497081400001,-4744.128656,508.21533386
-4742.802067,-61.8785111400002,-4744.25086,496.042510859999
-4742.922524,-63.9073151400007,-4744.373078,489.95609986
-4743.042994,-63.9073151400007,-4744.49531,485.89849186
-4743.163478,-63.9073151400007,-4744.617556,483.86968886
-4743.283976,-65.9361191400003,-4744.739816,469.668061859999
-4743.404486,-63.9073151400007,-4744.86209,467.63925786
-4743.52501,-67.9649221400005,-4744.984378,463.58165086
-4743.645547,-67.9649221400005,-4745.106679,461.55284686
-4743.766098,-63.9073151400007,-4745.228995,451.408827859999
-4743.886662,-61.8785111400002,-4745.351324,447.351219859999
-4744.007239,-61.8785111400002,-4745.473668,447.351219859999
-4744.12783,-59.8497081400001,-4745.596025,441.26480886
-4744.248434,-53.7632971400008,-4745.718397,433.14959386
-4744.369051,-53.7632971400008,-4745.840782,425.034378859999
-4744.489682,-49.7056891400007,-4745.963181,414.89035986
-4744.610326,-53.7632971400008,-4746.085595,408.80394886
-4744.730983,-51.7344931400003,-4746.208022,392.573518859999
-4744.851654,-51.7344931400003,-4746.330463,376.34308886
-4744.972338,-53.7632971400008,-4746.452918,370.25667686
-4745.093035,-55.79210014,-4746.575387,358.08385486
-4745.213746,-53.7632971400008,-4746.69787,343.88222786
-4745.33447,-57.8209041400005,-4746.820367,335.767012859999
-4745.455207,-59.8497081400001,-4746.942878,321.565386859999
-4745.575958,-61.8785111400002,-4747.065403,317.50777986
-4745.696722,-63.9073151400007,-4747.187942,311.42136786
-4745.8175,-67.9649221400005,-4747.310494,305.33495686
-4745.93829,-65.9361191400003,-4747.433061,303.306152859999
-4746.059095,-69.99372614,-4747.555641,303.306152859999
-4746.179912,-67.9649221400005,-4747.678236,297.21974186
-4746.300743,-69.99372614,-4747.800844,295.19093886
-4746.421588,-69.99372614,-4747.923467,295.19093886
-4746.542445,-67.9649221400005,-4748.046103,293.162134859999
-4746.663316,-63.9073151400007,-4748.168753,287.07572386
-4746.784201,-69.99372614,-4748.291418,283.01811586
-4746.905099,-72.0225291400002,-4748.414096,278.960508859999
-4747.02601,-69.99372614,-4748.536788,276.93170486
-4747.146934,-69.99372614,-4748.659494,274.90290086
-4747.267872,-67.9649221400005,-4748.782214,270.845293859999
-4747.388824,-72.0225291400002,-4748.904948,258.67247086
-4747.509788,-72.0225291400002,-4749.027696,256.643667859999
-4747.630766,-76.0801371400003,-4749.150458,248.52845286
-4747.751758,-74.0513331400007,-4749.273233,242.442041859999
-4747.872763,-80.13774414,-4749.396023,240.41323786
-4747.993781,-80.13774414,-4749.518827,236.35562986
-4748.114812,-80.13774414,-4749.641644,232.29802286
-4748.235857,-86.2241551400002,-4749.764476,228.24041486
