"extension","force_f","retraction","force_r"
4521.904209,-5925.988941,4523.75119,-5964.53621
4522.000537,-5928.017744,4523.84406,-5966.565014
4522.096876,-5925.988941,4523.936944,-5966.565014
4522.193224,-5930.046548,4524.029843,-5964.53621
4522.289583,-5925.988941,4524.122756,-5960.478603
4522.385952,-5923.960137,4524.215684,-5964.53621
4522.482332,-5921.931333,4524.308627,-5960.478603
4522.578721,-5921.931333,4524.401585,-5956.420996
4522.675121,-5915.844922,4524.494557,-5952.363388
4522.771531,-5911.787315,4524.587544,-5948.305781
4522.867952,-5911.787315,4524.680546,-5946.276977
4522.964382,-5909.758511,4524.773562,-5940.190566
4523.060823,-5909.758511,4524.866594,-5942.21937
4523.157275,-5907.729708,4524.95964,-5940.190566
4523.253736,-5911.787315,4525.0527,-5942.21937
4523.350208,-5909.758511,4525.145775,-5946.276977
4523.44669,-5911.787315,4525.238865,-5946.276977
4523.543182,-5915.844922,4525.33197,-5948.305781
4523.639684,-5917.873726,4525.425089,-5960.478603
4523.736197,-5917.873726,4525.518223,-5952.363388
4523.83272,-5917.873726,4525.611372,-5958.449799
4523.929253,-5921.931333,4525.704536,-5966.565014
4524.025797,-5923.960137,4525.797714,-5960.478603
4524.122351,-5923.960137,4525.890907,-5964.53621
4524.218915,-5928.017744,4525.984114,-5968.593818
4524.315489,-5930.046548,4526.077337,-5968.593818
4524.412074,-5934.104155,4526.170574,-5968.593818
4524.508669,-5936.132959,4526.263825,-5970.622621
4524.605274,-5936.132959,4526.357092,-5978.737836
4524.701889,-5936.132959,4526.450373,-5974.680229
4524.798515,-5936.132959,4526.543669,-5974.680229
4524.895151,-5930.046548,4526.636979,-5978.737836
4524.991798,-5934.104155,4526.730304,-5980.76664
4525.088454,-5930.046548,4526.823644,-5982.795443
4525.185121,-5925.988941,4526.916999,-5984.824247
4525.281798,-5925.988941,4527.010368,-5984.824247
4525.378486,-5923.960137,4527.103752,-5984.824247
4525.475184,-5923.960137,4527.197151,-5990.910658
4525.571892,-5919.90253,4527.290564,-5988.881855
4525.66861,-5919.90253,4527.383992,-5988.881855
4525.765339,-5923.960137,4527.477435,-5988.881855
4525.862078,-5923.960137,4527.570892,-5986.853051
4525.958827,-5921.931333,4527.664365,-5984.824247
4526.055587,-5923.960137,4527.757851,-5986.853051
4526.152356,-5921.931333,4527.851353,-5984.824247
4526.249137,-5923.960137,4527.944869,-5982.795443
4526.345927,-5921.931333,4528.0384,-5984.824247
4526.442728,-5921.931333,4528.131946,-5982.795443
4526.539539,-5921.931333,4528.225506,-5978.737836
4526.63636,-5917.873726,4528.319081,-5976.709032
4526.733192,-5917.873726,4528.412671,-5974.680229
4526.830034,-5915.844922,4528.506275,-5974.680229
4526.926886,-5915.844922,4528.599894,-5976.709032
4527.023749,-5917.873726,4528.693528,-5974.680229
4527.120622,-5915.844922,4528.787176,-5974.680229
4527.217505,-5915.844922,4528.88084,-5978.737836
4527.314399,-5915.844922,4528.974517,-5978.737836
4527.411303,-5915.844922,4529.06821,-5976.709032
4527.508217,-5913.816119,4529.161917,-5980.76664
4527.605142,-5913.816119,4529.255639,-5986.853051
4527.702077,-5917.873726,4529.349376,-5982.795443
4527.799022,-5911.787315,4529.443127,-5984.824247
4527.895978,-5909.758511,4529.536893,-5990.910658
4527.992944,-5909.758511,4529.630674,-5992.939462
4528.08992,-5909.758511,4529.724469,-5994.968266
4528.186906,-5907.729708,4529.818279,-5996.997069
4528.283903,-5903.6721,4529.912104,-5994.968266
4528.380911,-5905.700904,4530.005943,-5999.025873
4528.477928,-5907.729708,4530.099797,-5999.025873
4528.574956,-5909.758511,4530.193666,-6003.08348
4528.671994,-5909.758511,4530.287549,-6001.054677
4528.769043,-5911.787315,4530.381447,-6005.112284
4528.866102,-5913.816119,4530.47536,-6009.169891
4528.963171,-5911.787315,4530.569288,-6007.141088
4529.060251,-5913.816119,4530.66323,-6007.141088
4529.157341,-5917.873726,4530.757187,-6009.169891
4529.254441,-5919.90253,4530.851158,-6011.198695
4529.351552,-5921.931333,4530.945144,-6011.198695
4529.448673,-5919.90253,4531.039145,-6009.169891
4529.545805,-5919.90253,4531.133161,-6007.141088
4529.642946,-5921.931333,4531.227191,-6003.08348
4529.740098,-5921.931333,4531.321236,-5999.025873
4529.837261,-5919.90253,4531.415296,-5999.025873
4529.934434,-5919.90253,4531.50937,-5994.968266
4530.031617,-5919.90253,4531.603459,-5992.939462
4530.128811,-5917.873726,4531.697563,-5990.910658
4530.226015,-5917.873726,4531.791681,-5992.939462
4530.323229,-5921.931333,4531.885814,-5988.881855
4530.420454,-5915.844922,4531.979962,-5990.910658
4530.517689,-5915.844922,4532.074124,-5988.881855
4530.614934,-5923.960137,4532.168301,-5992.939462
4530.71219,-5919.90253,4532.262493,-5988.881855
4530.809456,-5923.960137,4532.356699,-5992.939462
4530.906733,-5921.931333,4532.45092,-5990.910658
4531.00402,-5919.90253,4532.545156,-5990.910658
4531.101317,-5921.931333,4532.639407,-5990.910658
4531.198625,-5923.960137,4532.733672,-5992.939462
4531.295943,-5921.931333,4532.827951,-5994.968266
4531.393271,-5919.90253,4532.922246,-5988.881855
4531.49061,-5917.873726,4533.016555,-5992.939462
4531.587959,-5915.844922,4533.110879,-5999.025873
4531.685319,-5907.729708,4533.205217,-5994.968266
4531.782689,-5901.643297,4533.29957,-5996.997069
4531.88007,-5903.6721,4533.393938,-5996.997069
4531.97746,-5897.585689,4533.488321,-5994.968266
4532.074862,-5895.556886,4533.582718,-5992.939462
4532.172273,-5889.470475,4533.67713,-6001.054677
4532.269695,-5887.441671,4533.771556,-5996.997069
4532.367128,-5889.470475,4533.865997,-5996.997069
4532.46457,-5887.441671,4533.960453,-5994.968266
4532.562024,-5889.470475,4534.054924,-5999.025873
4532.659487,-5889.470475,4534.149409,-6003.08348
4532.756961,-5897.585689,4534.243909,-6003.08348
4532.854446,-5897.585689,4534.338423,-6003.08348
4532.95194,-5903.6721,4534.432952,-6003.08348
4533.049446,-5907.729708,4534.527496,-6005.112284
4533.146961,-5909.758511,4534.622055,-6007.141088
4533.244487,-5911.787315,4534.716628,-6009.169891
4533.342024,-5911.787315,4534.811216,-6005.112284
4533.439571,-5911.787315,4534.905818,-6007.141088
4533.537128,-5911.787315,4535.000435,-6009.169891
4533.634696,-5911.787315,4535.095067,-6007.141088
4533.732274,-5919.90253,4535.189714,-6009.169891
4533.829863,-5915.844922,4535.284375,-6007.141088
4533.927462,-5917.873726,4535.379051,-6009.169891
4534.025071,-5917.873726,4535.473741,-6003.08348
4534.122691,-5921.931333,4535.568446,-5999.025873
4534.220321,-5919.90253,4535.663166,-6001.054677
4534.317962,-5915.844922,4535.7579,-5999.025873
4534.415613,-5915.844922,4535.85265,-5996.997069
4534.513275,-5911.787315,4535.947413,-5999.025873
4534.610947,-5911.787315,4536.042192,-5988.881855
4534.708629,-5907.729708,4536.136985,-5990.910658
4534.806322,-5907.729708,4536.231793,-5988.881855
4534.904025,-5903.6721,4536.326615,-5990.910658
4535.001739,-5905.700904,4536.421452,-5986.853051
4535.099463,-5905.700904,4536.516304,-5986.853051
4535.197198,-5895.556886,4536.611171,-5986.853051
4535.294943,-5905.700904,4536.706052,-5990.910658
4535.392699,-5899.614493,4536.800947,-5994.968266
4535.490464,-5895.556886,4536.895858,-5992.939462
4535.588241,-5899.614493,4536.990783,-5994.968266
4535.686028,-5901.643297,4537.085723,-5999.025873
4535.783825,-5903.6721,4537.180677,-5999.025873
4535.881633,-5907.729708,4537.275646,-5999.025873
4535.979451,-5909.758511,4537.37063,-6001.054677
4536.07728,-5907.729708,4537.465628,-6001.054677
4536.175119,-5909.758511,4537.560641,-5996.997069
4536.272969,-5907.729708,4537.655669,-5992.939462
4536.370829,-5909.758511,4537.750711,-5990.910658
4536.468699,-5905.700904,4537.845768,-5986.853051
4536.56658,-5907.729708,4537.940839,-5986.853051
4536.664472,-5909.758511,4538.035926,-5982.795443
4536.762374,-5909.758511,4538.131027,-5984.824247
4536.860286,-5911.787315,4538.226142,-5978.737836
4536.958209,-5911.787315,4538.321272,-5980.76664
4537.056142,-5911.787315,4538.416417,-5984.824247
4537.154086,-5915.844922,4538.511577,-5986.853051
4537.252041,-5915.844922,4538.606751,-5992.939462
4537.350005,-5921.931333,4538.70194,-5990.910658
4537.447981,-5917.873726,4538.797143,-5999.025873
4537.545966,-5919.90253,4538.892361,-6001.054677
4537.643963,-5923.960137,4538.987594,-6003.08348
4537.741969,-5925.988941,4539.082842,-6009.169891
4537.839986,-5921.931333,4539.178104,-6005.112284
4537.938014,-5925.988941,4539.273381,-6007.141088
4538.036052,-5928.017744,4539.368672,-6007.141088
4538.134101,-5923.960137,4539.463978,-6007.141088
4538.23216,-5921.931333,4539.559299,-6003.08348
4538.33023,-5921.931333,4539.654634,-6005.112284
4538.42831,-5921.931333,4539.749984,-6001.054677
4538.5264,-5923.960137,4539.845348,-5996.997069
4538.624501,-5919.90253,4539.940728,-5990.910658
4538.722613,-5917.873726,4540.036122,-5986.853051
4538.820735,-5915.844922,4540.13153,-5982.795443
4538.918868,-5913.816119,4540.226953,-5978.737836
4539.017011,-5915.844922,4540.322391,-5980.76664
